State,Latitude,Longitude,Murder,Assault,UrbanPop,Rape
Alabama,32.6010112,-86.6807365,13.2,236,58,21.2
Alaska,61.3025006,-158.7750198,10,263,48,44.5
Arizona,34.1682185,-111.930907,8.1,294,80,31
Arkansas,34.7519275,-92.1313784,8.8,190,50,19.5
California,37.2718745,-119.2704153,9,276,91,40.6
Colorado,38.9979339,-105.550567,7.9,204,78,38.7
Connecticut,41.5187835,-72.757507,3.3,110,77,11.1
Delaware,39.145251,-75.4189206,5.9,238,72,15.8
Florida,27.9757279,-83.8330166,15.4,335,80,31.9
Georgia,32.6781248,-83.2229757,17.4,211,60,25.8
Hawaii,20.46,-157.505,5.3,46,83,20.2
Idaho,45.4945756,-114.1424303,2.6,120,54,14.2
Illinois,39.739318,-89.504139,10.4,249,83,24
Indiana,39.7662195,-86.441277,7.2,113,65,21
Iowa,41.9383166,-93.389798,2.2,56,57,11.3
Kansas,38.4987789,-98.3200779,6,115,66,18
Kentucky,37.8222935,-85.7682399,9.7,109,52,16.3
Louisiana,30.9733766,-91.4299097,15.4,249,66,22.2
Maine,45.2185133,-69.0148656,2.1,83,51,7.8
Maryland,38.8063524,-77.2684162,11.3,300,67,27.8
Massachusetts,42.0629398,-71.718067,4.4,149,85,16.3
Michigan,44.9435598,-86.4158049,12.1,255,74,35.1
Minnesota,46.4418595,-93.3655146,2.7,72,66,14.9
Mississippi,32.5851062,-89.8772196,16.1,259,44,17.1
Missouri,38.3046615,-92.437099,9,178,70,28.2
Montana,46.6797995,-110.044783,6,109,53,16.4
Nebraska,41.5008195,-99.680902,4.3,102,62,16.5
Nevada,38.502032,-117.0230604,12.2,252,81,46
New Hampshire,44.0012306,-71.5799231,2.1,57,56,9.5
New Jersey,40.1430058,-74.7311156,7.4,159,89,18.8
New Mexico,34.1662325,-106.0260685,11.4,285,70,32.1
New York,40.7056258,-73.97968,11.1,254,86,26.1
North Carolina,35.2145629,-79.8912675,13,337,45,16.1
North Dakota,47.4678819,-100.3022655,0.8,45,44,7.3
Ohio,40.1903624,-82.6692525,7.3,120,75,21.4
Oklahoma,35.3097654,-98.7165585,6.6,151,68,20
Oregon,44.1419049,-120.5380993,4.9,159,67,29.3
Pennsylvania,40.9945928,-77.6046984,6.3,106,72,14.9
Rhode Island,41.5827282,-71.5064508,3.4,174,87,8.3
South Carolina,33.62505,-80.9470381,14.4,279,48,22.5
South Dakota,44.2126995,-100.2471641,3.8,86,45,12.8
Tennessee,35.830521,-85.9785989,13.2,188,59,26.9
Texas,31.1693363,-100.0768425,12.7,201,80,25.5
Utah,39.4997605,-111.547028,3.2,120,80,22.9
Vermont,43.8717545,-72.4477828,2.2,48,32,11.2
Virginia,38.0033855,-79.4587861,8.5,156,63,20.7
Washington,38.8993487,-77.0145665,4,145,73,26.2
West Virginia,38.9201705,-80.1816905,5.7,81,39,9.3
Wisconsin,44.7862968,-89.8267049,2.6,53,66,10.8
Wyoming,43.000325,-107.5545669,6.8,161,60,15.6
